label,text
Limitation of Liability-negative,Client waives all rights to recover any damages from Provider.
Limitation of Liability-negative,Provider shall not be liable for any damages of any kind
Limitation of Liability-negative,All liability caps are removed only for Provider.
Limitation of Liability-negative,Client is liable for any damages claimed against Provider by third parties.
Limitation of Liability-negative,Provider's liability is limited to $1
Limitation of Liability-negative,Provider is not liable for any damages resulting from force majeure events.
Limitation of Liability-negative,Client assumes all liability for its use of the deliverables in regulated environments.
Limitation of Liability-negative,The limitations of liability do not apply to Client.
Limitation of Liability-negative,Provider is not liable for any damages caused by Client's failure to implement recommended security practices.
Indemnification-positive,Provider shall indemnify Client for third-party IP infringement claims arising from Deliverables.
Indemnification-positive,Each party will indemnify the other for bodily injury or property damage caused by its negligence.
Indemnification-positive,Indemnification procedures require prompt notice and cooperation.
Indemnification-positive,Client agrees to indemnify Provider for Clients breach of this Agreement.
Indemnification-positive,Provider shall indemnify
Indemnification-positive,Indemnification obligations include payment of all reasonable attorneys' fees and settlement amounts.
Indemnification-positive,The indemnified party shall have the right to participate in the defense of any claim with counsel of its own choosing.
Indemnification-positive,Provider shall have sole control over the defense and settlement of any claim for which it provides indemnification.
Indemnification-positive,The indemnifying party's obligations are contingent upon the indemnified party providing prompt written notice of the claim.
Indemnification-positive,These indemnification obligations survive the termination of this Agreement for a period of three years.
Indemnification-negative,Client must indemnify Provider for all claims
Indemnification-negative,Provider has no obligation to indemnify Client for IP infringement.
Indemnification-negative,Indemnification covers Providers own negligence.
Indemnification-negative,Provider may settle claims without Clients consent.
Indemnification-negative,Client waives all rights to seek indemnity from Provider under any circumstances.
Indemnification-negative,Provider's total indemnification liability is capped at the amount of fees paid in the previous six months.
Indemnification-negative,Client must indemnify Provider for any claim arising from Client's use of the deliverables.
Indemnification-negative,Indemnification is the sole and exclusive remedy for any third-party claim.
Indemnification-negative,Provider is not required to indemnify Client for claims arising from Client's modification of the deliverables.
Indemnification-negative,Indemnification obligations do not survive the termination of this Agreement.
Governing Law and Dispute Resolution-positive,This Agreement shall be governed by the laws of [Jurisdiction]
Governing Law and Dispute Resolution-positive,Parties agree to attempt good faith negotiation before initiating litigation.
Governing Law and Dispute Resolution-positive,Any dispute will be resolved through mediation before arbitration or litigation.
Governing Law and Dispute Resolution-positive,Venue for disputes shall be in the mutually agreed jurisdiction.
Governing Law and Dispute Resolution-positive,Any dispute arising under this Agreement shall be resolved by binding arbitration in accordance with the rules of the American Arbitration Association.
Governing Law and Dispute Resolution-positive,The prevailing party in any dispute shall be entitled to recover its reasonable attorneys' fees and costs.
Governing Law and Dispute Resolution-positive,The parties agree that any dispute shall be resolved on an individual basis and waive any right to participate in a class action.
Governing Law and Dispute Resolution-positive,Any arbitration award may be confirmed and enforced in any court of competent jurisdiction.
Governing Law and Dispute Resolution-positive,The parties agree to submit to the exclusive jurisdiction of the state and federal courts located in [County
Governing Law and Dispute Resolution-positive,Notices required for dispute resolution must be in writing and sent via certified mail.
Governing Law and Dispute Resolution-negative,Providers jurisdiction exclusively governs
Governing Law and Dispute Resolution-negative,All disputes must be resolved exclusively in Providers chosen court without negotiation.
Governing Law and Dispute Resolution-negative,Provider may choose any governing law it deems appropriate.
Governing Law and Dispute Resolution-negative,Client waives all rights to contest Providers jurisdiction or venue.
Governing Law and Dispute Resolution-negative,Client agrees to pay all Providers legal fees in any dispute regardless of outcome.
Governing Law and Dispute Resolution-negative,Client hereby consents to the personal jurisdiction of any court selected by Provider.
Governing Law and Dispute Resolution-negative,Any dispute must be filed within six months of the event giving rise to the claim.
Governing Law and Dispute Resolution-negative,Client waives any right to a trial by jury in any action arising out of this Agreement.
Governing Law and Dispute Resolution-negative,Provider may unilaterally change the governing law and dispute resolution provisions of this Agreement.
Governing Law and Dispute Resolution-negative,Client is responsible for all travel and accommodation costs for attending dispute resolution proceedings in Provider's chosen location.
